Month (abbr),Year,Country/Area,집계(Growth Rate(%)),합계(Visitor Arrivals)
Dec.,2000,Vietnam,744.94382022471916,752
Nov.,2000,Vietnam,766.95652173913049,997
Oct.,2000,Vietnam,327.13178294573646,1102
Sep.,2000,Vietnam,534.5679012345679,1028
Aug.,2000,Vietnam,232.03463203463204,767
Jul.,2000,Vietnam,597.2602739726027,1018
Jun.,2000,Vietnam,586.36363636363637,755
May,2000,Vietnam,450,715
Apr.,2000,Vietnam,470.86092715231791,862
Mar.,2000,Vietnam,415.57377049180326,629
Feb.,2000,Vietnam,713.04347826086951,561
Jan.,2000,Vietnam,804.65116279069764,778
Dec.,2000,Venezuela,-97.281612706169824,89
Nov.,2000,Venezuela,-97.508665511265164,115
Oct.,2000,Venezuela,-95.299690289670252,258
Sep.,2000,Venezuela,-96.720647773279353,162
Aug.,2000,Venezuela,-94.902912621359221,231
Jul.,2000,Venezuela,-97.345454545454544,146
Jun.,2000,Venezuela,-97.035839396389107,110
May,2000,Venezuela,-97.017664601972925,130
Apr.,2000,Venezuela,-96.371064647921173,151
Mar.,2000,Venezuela,-96.669396669396662,122
Feb.,2000,Venezuela,-97.73175542406311,69
Jan.,2000,Venezuela,-97.597094160379996,86
Dec.,2000,Unknown,-93.653808877689471,3274
Nov.,2000,Unknown,-92.111694037630087,4616
Oct.,2000,Unknown,-92.400138456213227,5489
Sep.,2000,Unknown,-90.922121356903958,4940
Aug.,2000,Unknown,-92.204620121437301,4532
Jul.,2000,Unknown,-92.110623404194286,5500
Jun.,2000,Unknown,-94.939177394719621,3711
May,2000,Unknown,-93.309799708387686,4359
Apr.,2000,Unknown,-93.678213309024613,4161
Mar.,2000,Unknown,-94.147627416520209,3663
Feb.,2000,Unknown,-93.213457076566129,3042
Jan.,2000,Unknown,-92.7895076154404,3579
Dec.,2000,United States,282.57322951427511,51590
Nov.,2000,United States,250.80031173191054,58517
Oct.,2000,United States,272.00618078805047,72225
Sep.,2000,United States,263.02868579052705,54418
Aug.,2000,United States,275.5862781833452,58137
Jul.,2000,United States,272.14541184006833,69714
Jun.,2000,United States,443.33135743924129,73328
May,2000,United States,327.18987673747705,65155
Apr.,2000,United States,239.19093017263592,65820
Mar.,2000,United States,277.95893719806759,62590
Feb.,2000,United States,216.86695885762762,44824
Jan.,2000,United States,224.67294610151751,49636
Dec.,2000,United Kingdom,3288.1909547738692,13485
Nov.,2000,United Kingdom,3164.3835616438355,16681
Oct.,2000,United Kingdom,3488.7245841035119,19415
Sep.,2000,United Kingdom,2810.6796116504852,14990
Aug.,2000,United Kingdom,3542.1176470588234,15479
Jul.,2000,United Kingdom,3427.8719397363466,18733
Jun.,2000,United Kingdom,2771.4893617021276,13496
May,2000,United Kingdom,3647.4201474201473,15252
Apr.,2000,United Kingdom,4260.6741573033705,19405
Mar.,2000,United Kingdom,4223.7597911227158,16560
Feb.,2000,United Kingdom,3401.4851485148511,14146
Jan.,2000,United Kingdom,5030.2013422818791,15288
Dec.,2000,Turkey,-90.539576895650114,398
Nov.,2000,Turkey,-90.167404271695204,511
Oct.,2000,Turkey,-93.761531365313658,541
Sep.,2000,Turkey,-89.526133821435835,515
Aug.,2000,Turkey,-89.472380480554875,425
Jul.,2000,Turkey,-88.508980740099545,531
Jun.,2000,Turkey,-89.22265535427654,470
May,2000,Turkey,-93.159663865546221,407
Apr.,2000,Turkey,-95.789971617786179,445
Mar.,2000,Turkey,-92.991765782250695,383
Feb.,2000,Turkey,-87.686680889972564,404
Jan.,2000,Turkey,-91.48571428571428,298
Dec.,2000,Thailand,-92.211855307490097,4207
Nov.,2000,Thailand,-91.406934638469551,5197
Oct.,2000,Thailand,-89.020144085286333,8672
Sep.,2000,Thailand,-93.098656785548854,4917
Aug.,2000,Thailand,-95.160458899265137,4037
Jul.,2000,Thailand,-95.915715788264194,4621
Jun.,2000,Thailand,-94.877908410753932,4361
May,2000,Thailand,-91.565906416998601,5950
Apr.,2000,Thailand,-88.919638551690881,10570
Mar.,2000,Thailand,-91.265223923536738,5465
Feb.,2000,Thailand,-96.435710250727851,3281
Jan.,2000,Thailand,-92.363247583513342,3500
Dec.,2000,Taiwan,4810.727272727273,54018
Nov.,2000,Taiwan,3868.4383202099739,60479
Oct.,2000,Taiwan,3304.3534482758623,78981
Sep.,2000,Taiwan,5081.6000000000004,71247
Aug.,2000,Taiwan,7374.6415770609319,83417
Jul.,2000,Taiwan,7056.2934851359896,113141
Jun.,2000,Taiwan,7246.0742018981873,85141
May,2000,Taiwan,4917.5675675675675,70547
Apr.,2000,Taiwan,4915.4574132492116,95394
Mar.,2000,Taiwan,4167.8035470668483,62566
Feb.,2000,Taiwan,8089.6797153024909,92052
Jan.,2000,Taiwan,4147.5440222428178,45831
Dec.,2000,Switzerland,-26.37215528781794,1100
Nov.,2000,Switzerland,-30.315500685871054,1524
Oct.,2000,Switzerland,-9.586905689789555,2320
Sep.,2000,Switzerland,-21.113023522662079,1375
Aug.,2000,Switzerland,-10.361445783132531,1116
Jul.,2000,Switzerland,8.0656185919343812,1581
Jun.,2000,Switzerland,-22.526737967914439,1159
May,2000,Switzerland,-18.39814277423099,1406
Apr.,2000,Switzerland,-11.658151416627961,1902
Mar.,2000,Switzerland,-22.923238696109358,1466
Feb.,2000,Switzerland,-19.194823867721063,1124
Jan.,2000,Switzerland,-30.521571152607859,1079
Dec.,2000,Sweden,552.40174672489081,1494
Nov.,2000,Sweden,1027.319587628866,2187
Oct.,2000,Sweden,1121.9047619047619,2566
Sep.,2000,Sweden,937.5,1743
Aug.,2000,Sweden,412.34567901234567,1245
Jul.,2000,Sweden,335.41666666666663,1463
Jun.,2000,Sweden,475.38461538461536,1496
May,2000,Sweden,659.03083700440527,1723
Apr.,2000,Sweden,1045.2127659574469,2153
Mar.,2000,Sweden,760.63348416289591,1902
Feb.,2000,Sweden,565.5502392344498,1391
Jan.,2000,Sweden,590.22222222222217,1553
Dec.,2000,Stateless and others,-52.192066805845514,229
Nov.,2000,Stateless and others,-63.805970149253732,194
Oct.,2000,Stateless and others,-67.032967032967022,210
Sep.,2000,Stateless and others,-72.638436482084686,168
Aug.,2000,Stateless and others,-65.236051502145926,243
Jul.,2000,Stateless and others,-51.162790697674424,336
Jun.,2000,Stateless and others,-52.205882352941181,260
May,2000,Stateless and others,-58.424908424908431,227
Apr.,2000,Stateless and others,-71.297709923664115,188
Mar.,2000,Stateless and others,-48.24355971896955,221
Feb.,2000,Stateless and others,-25.089605734767023,209
Jan.,2000,Stateless and others,-42.307692307692307,225
Dec.,2000,Sri Lanka,-29.970760233918131,479
Nov.,2000,Sri Lanka,-68.038163387000594,536
Oct.,2000,Sri Lanka,-63.558352402745996,637
Sep.,2000,Sri Lanka,-53.520060560181683,614
Aug.,2000,Sri Lanka,-42.279108175061928,699
Jul.,2000,Sri Lanka,-54.19440745672437,688
Jun.,2000,Sri Lanka,-46.875,544
May,2000,Sri Lanka,-43.006263048016699,546
Apr.,2000,Sri Lanka,-52.570601013758143,655
Mar.,2000,Sri Lanka,-61.669658886894077,427
Feb.,2000,Sri Lanka,-60.593220338983059,279
Jan.,2000,Sri Lanka,-53.181272509003598,390
Dec.,2000,Spain,-99.254113823975217,684
Nov.,2000,Spain,-98.014044977085135,1677
Oct.,2000,Spain,-98.029623283810892,1748
Sep.,2000,Spain,-98.327170499442815,1321
Aug.,2000,Spain,-98.950561116166213,1211
Jul.,2000,Spain,-98.589764053066929,1502
Jun.,2000,Spain,-98.726526551423959,1024
May,2000,Spain,-98.823225933250626,958
Apr.,2000,Spain,-98.365370957814505,1381
Mar.,2000,Spain,-98.616990899949101,1114
Feb.,2000,Spain,-99.092772936955413,708
Jan.,2000,Spain,-99.11163723231806,833
Dec.,2000,South Korea,72680.158730158728,91703
Nov.,2000,South Korea,106789.87341772151,84443
Oct.,2000,South Korea,53993.902439024394,88714
Sep.,2000,South Korea,65706.666666666672,78968
Aug.,2000,South Korea,134080.23255813954,115395
Jul.,2000,South Korea,62921.893491124261,106507
Jun.,2000,South Korea,80310,80410
May,2000,South Korea,90354.444444444453,81409
Apr.,2000,South Korea,94825.842696629217,84484
Mar.,2000,South Korea,98130.487804878037,80549
Feb.,2000,South Korea,61836.507936507936,78040
Jan.,2000,South Korea,85143.636363636353,93768
Dec.,2000,Slovakia,-98.90234340970467,126
Nov.,2000,Slovakia,-98.919288645690841,79
Oct.,2000,Slovakia,-97.420572507077694,164
Sep.,2000,Slovakia,-97.477401723775486,120
Aug.,2000,Slovakia,-97.520184544405993,86
Jul.,2000,Slovakia,-96.163450624290576,169
Jun.,2000,Slovakia,-98.80210828941064,100
May,2000,Slovakia,-98.476641841570753,90
Apr.,2000,Slovakia,-98.791417707767522,89
Mar.,2000,Slovakia,-98.539626001780945,82
Feb.,2000,Slovakia,-97.679130594953037,126
Jan.,2000,Slovakia,-96.670702179176757,110
Dec.,2000,Singapore,363.04961678096009,11479
Nov.,2000,Singapore,150.08552856654123,7310
Oct.,2000,Singapore,97.822028624766645,6358
Sep.,2000,Singapore,33.100167879127028,4757
Aug.,2000,Singapore,-6.6989507667473776,3468
Jul.,2000,Singapore,3.016838166510758,4405
Jun.,2000,Singapore,279.79981801637854,8348
May,2000,Singapore,203.90946502057611,5908
Apr.,2000,Singapore,280.76525336091004,7364
Mar.,2000,Singapore,217.95016987542471,5615
Feb.,2000,Singapore,182.76041666666666,5429
Jan.,2000,Singapore,60.77858880778588,3304
Dec.,2000,Russia,1053.0232558139535,2479
Nov.,2000,Russia,527.25321888412009,2923
Oct.,2000,Russia,582.37791932059451,3214
Sep.,2000,Russia,620.56451612903231,3574
Aug.,2000,Russia,1324.1379310344828,3717
Jul.,2000,Russia,922.96650717703346,4276
Jun.,2000,Russia,533.42939481268013,2198
May,2000,Russia,399.74293059125966,1944
Apr.,2000,Russia,468.82352941176475,1934
Mar.,2000,Russia,207.13043478260872,1766
Feb.,2000,Russia,703.347280334728,1920
Jan.,2000,Russia,693.43629343629345,2055
Dec.,2000,Republic of South Africa,-55.578512396694215,215
Nov.,2000,Republic of South Africa,1.525054466230937,466
Oct.,2000,Republic of South Africa,-26.635514018691588,471
Sep.,2000,Republic of South Africa,-12.522045855379188,496
Aug.,2000,Republic of South Africa,-83.418043202033033,261
Jul.,2000,Republic of South Africa,-54.515778019586506,418
Jun.,2000,Republic of South Africa,-61.868131868131869,347
May,2000,Republic of South Africa,-15.800865800865802,389
Apr.,2000,Republic of South Africa,-40.869565217391305,340
Mar.,2000,Republic of South Africa,45.569620253164558,575
Feb.,2000,Republic of South Africa,-47.356828193832598,239
Jan.,2000,Republic of South Africa,-24.709302325581394,259
Dec.,2000,Portugal,37.89173789173789,484
Nov.,2000,Portugal,-10.700389105058365,459
Oct.,2000,Portugal,27.380952380952383,642
Sep.,2000,Portugal,24.615384615384617,567
Aug.,2000,Portugal,431.75675675675677,1574
Jul.,2000,Portugal,113.72093023255813,919
Jun.,2000,Portugal,163.00578034682081,910
May,2000,Portugal,37.910447761194028,462
Apr.,2000,Portugal,49.739583333333329,575
Mar.,2000,Portugal,17.210682492581604,395
Feb.,2000,Portugal,28.97727272727273,454
Jan.,2000,Portugal,19.444444444444446,344
Dec.,2000,Poland,-96.428571428571431,351
Nov.,2000,Poland,-95.110815181204217,514
Oct.,2000,Poland,-94.826524327653459,504
Sep.,2000,Poland,-95.558375634517773,455
Aug.,2000,Poland,-96.824375067052898,296
Jul.,2000,Poland,-95.821997668091711,430
Jun.,2000,Poland,-96.368216647423111,346
May,2000,Poland,-96.791802336717097,335
Apr.,2000,Poland,-96.163069544364504,384
Mar.,2000,Poland,-95.979959441727303,337
Feb.,2000,Poland,-94.581280788177338,352
Jan.,2000,Poland,-96.100731112916321,288
Dec.,2000,Philippines,2388.1012658227851,9828
Nov.,2000,Philippines,3237.4603174603171,10513
Oct.,2000,Philippines,2317.3697270471466,9742
Sep.,2000,Philippines,3372.5423728813562,10244
Aug.,2000,Philippines,3038.3838383838383,9321
Jul.,2000,Philippines,3167.3015873015875,10292
Jun.,2000,Philippines,3495.0943396226412,9527
